"marketplace","customer_id","review_id","product_id","product_parent","product_title","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date","year","product_category"
"US","27234583","RYSGVGQU5HB5C","B0091JKY0M","941945933","Amazon.com Gift Card for Any Amount in a Santa Tin (Ho! Ho! Ho! Card Design)","5","0","0","N","Y","Five Stars","Cute","16436","2015","Gift_Card"
"US","41200446","R31Z6984SLA3AB","B004LLIKVU","473048287","Amazon.com eGift Cards","5","0","0","N","Y","Five Stars","Very good","16436","2015","Gift_Card"
"US","37861590","R2XEC6TIXZX2ZE","BT00CTP4TW","775486538","Amazon.com Gift Card in a Greeting Card (Various Designs)","5","0","0","N","Y","Five Stars","great","16436","2015","Gift_Card"
"US","1776698","R3IYIAD43DSX3B","B004LLIKVU","473048287","Amazon.com eGift Cards","5","0","0","N","Y","Five Stars","EXCELENT!","16436","2015","Gift_Card"
"US","38926751","R3LSH0P496X2FT","B0069VHL5Q","493863665","Amazon Gift Card - Print - Holiday Scene (Color-In)","5","0","0","N","Y","Best printing option for B&W printer","I purchased 4 of these for Christmas gifts. Who would not be able to find something to buy on Amazon?? A gift card for this site is almost as good as a cash gift!     I chose this particular design for economy of ink on my B&W printer. I folded up the printouts and placed them in Christmas cards to hand to the recipients.     If I had had more time, I would have outlined the drawing with colored markers. Oh well, next time ...","16436","2015","Gift_Card"
"US","46256449","R1GPEMUZQ1XQ82","B00GXSCZVK","333155115","Amazon Gift Card - Email - Just Because (Pick Your Own Gift) [Someecards]","5","0","0","N","Y","Five Stars","Just the job fir a teenage boy.","16436","2015","Gift_Card"
"US","12288806","R1BMDCKBQ7PISV","B00A48G0D4","848703272","Amazon eGift Card - Happy Birthday (Candles)","5","0","0","N","Y","Five Stars","Very convenient way to send a gift.","16436","2015","Gift_Card"
"US","4953868","RAF3U37WRF7V8","B004LLIKVU","473048287","Amazon.com eGift Cards","5","0","0","N","Y","Five Stars","It was a great use and convenient","16436","2015","Gift_Card"
"US","34058133","R2K2H49EFXNI23","B0066AZGJI","480731329","Amazon eGift Card - Upload Your Photo - Birthday","4","0","0","N","Y","The Amazon gift card was a hit.","Given as a birthday gift to someone far away without a Postal Address this was a hit.","16436","2015","Gift_Card"
"US","8220499","RF70GMXCNWTM0","B00GXSCZVK","333155115","Amazon Gift Card - Email - Just Because (Pick Your Own Gift) [Someecards]","5","0","0","N","Y","there's nothing better than sending him a gift card and a couple ...","When your brother lives far away and is an avid reader, there's nothing better than sending him a gift card and a couple of suggestions as to Kindle books he might want to read. No muss, no returns, no postage!","16436","2015","Gift_Card"
"US","1421525","RUHKBQCNMB109","B004LLIKVU","473048287","Amazon.com eGift Cards","5","0","0","N","Y","Five Stars","Excellent!","16436","2015","Gift_Card"
